chain_rank,source_ref,target_ref,score,max_exact_run_len,max_exact_run,shared_content_token_count,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score,lemma_retains_or_improves_surface_signal,source_lemma_tokens_content,target_lemma_tokens_content
173,Mark 14:43,Luke 22:47,0.2642,3,ιουδασ εισ δωδεκα,6,main_text,0.3333,0.2727,0.1,5,0.4545,3,ιουδασ εισ δωδεκα,6,δωδεκα εισ ετι ιουδασ λαλεω οχλοσ,0.3315,0.0673,True,ευθυσ ετι λαλεω παραγινομαι ιουδασ εισ δωδεκα οχλοσ μαχαιρα ξυλον αρχιερευσ γραμματευσ πρεσβυτεροσ,ετι λαλεω οχλοσ λεγω ιουδασ εισ δωδεκα προερχομαι εγγιζω ιησουσ φιλεω
174,Mark 14:47,Luke 22:50,0.2941,2,εισ τισ,5,main_text,0.3333,0.0,0.0,3,0.4286,1,εισ,4,αρχιερευσ αφαιρεω δουλοσ εισ,0.2635,-0.0306,False,εισ παριστημι σπαομαι μαχαιρα παιω δουλοσ αρχιερευσ αφαιρεω ωταριον,πατασσω εισ αρχιερευσ δουλοσ αφαιρεω ουσ δεξιοσ
175,Mark 14:48,Luke 22:52,0.4226,5,ωσ ληστην εξηλθατε μαχαιρων ξυλων,6,main_text,0.4615,0.3529,0.2667,5,0.625,4,ληστησ εξερχομαι μαχαιρα ξυλον,6,εξερχομαι ιησουσ λεγω ληστησ μαχαιρα ξυλον,0.4597,0.0371,True,αποκρινομαι ιησουσ λεγω ληστησ εξερχομαι μαχαιρα ξυλον συλλαμβανω,λεγω ιησουσ παραγινομαι αρχιερευσ στρατηγοσ ιεροσ πρεσβυτεροσ ληστησ εξερχομαι μαχαιρα ξυλον
176,Mark 14:72,Luke 22:61,0.2781,3,πριν αλεκτορα φωνησαι,8,main_text,0.3043,0.125,0.0667,6,0.3529,3,πριν αλεκτωρ φωνεω,7,αλεκτωρ απαρνεομαι λεγω πετροσ πριν τρισ φωνεω,0.2695,-0.0086,True,ευθυσ δευτεροσ αλεκτωρ φωνεω αναμιμνησκω πετροσ ρημα λεγω ιησουσ πριν αλεκτωρ φωνεω δισ τρισ απαρνεομαι επιβαλλω κλαιω,στρεφω κυριοσ εμβλεπω πετροσ υπομιμνησκω πετροσ λογοσ κυριοσ ωσ λεγω οτι πριν αλεκτωρ φωνεω σημερον απαρνεομαι τρισ
177,Mark 15:2,Luke 23:3,0.6114,4,βασιλευσ ιουδαιων αποκριθεισ αυτω,6,main_text,0.6667,0.4,0.3077,6,0.75,4,ειμι βασιλευσ ιουδαιοσ αποκρινομαι,6,αποκρινομαι βασιλευσ ειμι ιουδαιοσ λεγω πιλατοσ,0.6006,-0.0108,True,επερωταω πιλατοσ ειμι βασιλευσ ιουδαιοσ αποκρινομαι λεγω λεγω,πιλατοσ ερωταω λεγω ειμι βασιλευσ ιουδαιοσ αποκρινομαι φημι λεγω
178,Mark 15:21,Luke 23:26,0.3451,5,σιμωνα κυρηναιον ερχομενον απ αγρου,6,main_text,0.3125,0.3158,0.2353,5,0.5,4,σιμων κυρηναιοσ ερχομαι αγροσ,5,αγροσ ερχομαι κυρηναιοσ σιμων σταυροσ,0.3555,0.0104,True,αγγαρευω παραγω σιμων κυρηναιοσ ερχομαι αγροσ πατηρ αλεξανδροσ ρουφοσ αιρω σταυροσ,απαγω επιλαμβανομαι σιμων κυρηναιοσ ερχομαι αγροσ επιτιθημι σταυροσ φερω ιησουσ
179,Mark 15:26,Luke 23:38,0.3,2,βασιλευσ ιουδαιων,3,main_text,0.5714,0.2222,0.0,4,0.8,2,βασιλευσ ιουδαιοσ,4,βασιλευσ ειμι επιγραφη ιουδαιοσ,0.4952,0.1952,True,ειμι επιγραφη αιτια επιγραφω βασιλευσ ιουδαιοσ,ειμι και επιγραφη βασιλευσ ιουδαιοσ
180,Mark 15:30,Luke 23:39,0.2433,2,σωσον σεαυτον,2,main_text,0.1,0.0,0.0,1,0.3333,1,σωζω,1,σωζω,0.1192,-0.1241,False,σωζω καταβαινω σταυροσ,εισ κρεμαννυμι κακουργοσ βλασφημεω λεγω ειμι χριστοσ σωζω
181,Mark 15:33,Luke 23:44,0.6525,8,σκοτοσ εγενετο εφ ολην γην εωσ ωρασ ενατησ,8,main_text,0.7,0.7778,0.75,8,0.8889,8,ωρα εκτοσ σκοτοσ γινομαι ολοσ γη ωρα ενατοσ,7,γη γινομαι εκτοσ ενατοσ ολοσ σκοτοσ ωρα,0.7578,0.1053,True,γινομαι ωρα εκτοσ σκοτοσ γινομαι ολοσ γη ωρα ενατοσ,ειμι ηδη ωσει ωρα εκτοσ σκοτοσ γινομαι ολοσ γη ωρα ενατοσ
182,Mark 15:38,Luke 23:45,0.229,2,καταπετασμα ναου,3,main_text,0.3333,0.2,0.0,2,0.3333,2,καταπετασμα ναοσ,3,καταπετασμα ναοσ σχιζω,0.286,0.057,True,καταπετασμα ναοσ σχιζω δυο ανωθεν κατω,ηλιοσ εκλειπω σχιζω καταπετασμα ναοσ μεσοσ
183,Mark 15:43,Luke 23:52,0.2566,3,ητησατο σωμα ιησου,3,main_text,0.2353,0.3158,0.2353,4,0.8,4,πιλατοσ αιτεω σωμα ιησουσ,4,αιτεω ιησουσ πιλατοσ σωμα,0.3642,0.1076,True,ερχομαι ιωσηφ αριμαθαια ευσχημων βουλευτησ και ειμι προσδεχομαι βασιλεια θεοσ τολμαω εισερχομαι πιλατοσ αιτεω σωμα ιησουσ,προσερχομαι πιλατοσ αιτεω σωμα ιησουσ
